article_id,article_year,article_global_id,db_id,resource_name,status,debut_yr,total_articles,total_citations,db_last_update,quartile,access_confirmed,update_2018,primary_country,multi_sign,funder,host_code,host
2512,2013,10.1093/nar/gks949,MBDC0173,EMBL-EBI IPD IMGT/HLA,yes,2001,5,1251,2017,1,yes,2018,GBR,multi,Histogenetics; One Lambda Inc; Conexio; Abbott Molecular Laboratories Inc; European Federation for Immunogenetics; GenProbe; LabCorp; Life Technologies; Olersup SSP; 454 Sequencing; American Society for Histocompatibility and Immunogenetics; Anthony Nolan; AsiaPacific Histocompatibility and Immunogetics Association; BAG Healthcare; Be the Match Foundation; Deutsche Knochenmarkspenderdatei; Innotrain Diagnostik GMBH; Rose and Zentrum Knochenmarkspender Register Deutschland; Imperial Cancer Research Fund; European Commission,G,European Molecular Biology Laboratory
2759,2014,10.1093/nar/gkt940,MBDC0278,EMBL-EBI PDBsum,yes,2001,4,945,2017,1,yes,2018,GBR,multi,US Department of Energy; US National Institutes of Health; European Molecular Biology Laboratory; Czech Science Foundation; European Commission,G,European Molecular Biology Laboratory
517,2000,10.1093/nar/28.1.304,MBDC0109,ENZYME Data Bank,yes,1993,5,675,2016,2,yes,2018,CHE,not_reported,not_reported,G,Swiss Institute of Bioinformatics
2858,2015,10.1093/nar/gku1111,MBDC0033,EPD: Eukaryotic Promoter Database,yes,1998,8,509,2016,2,yes,2017,CHE,single,Swiss National Science Foundation,G,Swiss Institute of Bioinformatics
2573,2013,10.1093/nar/gks1154,MBDC0162,"ESTHER: ESTerases, alpha-beta Hydrolase Enzymes and Relatives",yes,1996,5,285,2016,2,yes,2018,FRA,single,Agence Nationale de la Recherche,G,French National Institute for Agricultural Research
907,2004,10.1093/nar/gkh065,MBDC0463,European Ribosomal RNA Database,yes,1991,17,2134,2007,2,false_positive,2007,BEL,multi,German Federal Ministry of Education and Research; Ghent University,A,University of Ghent
3021,2016,10.1093/nar/gkv1046,MBDC0071,FlyBase,yes,1994,17,2876,2016,2,yes,2018,INT,multi,US National Institutes of Health; UK Medical Research Council,C,FLyBase Consortium
1725,2009,10.1093/nar/gkn819,MBDC0074,GOBASE,yes,1998,5,140,2010,3,false_positive,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
2999,2016,10.1093/nar/gkv1178,MBDC0166,GPCRDB: G Protein-Coupled Receptor Database,yes,1998,6,854,2016,1,yes,2017,DNK,multi,European Commission; Lundbeck Foundation; Danish Ministry of Higher Education and Science; Polish National Science Centre,A,University of Copenhagen
1835,2009,10.1093/nar/gkn748,MBDC0131,GWAS Centeral ,yes,2000,4,286,2016,2,yes,2017,GBR,multi,University of Leicester; GlaxoSmithKline; European Commission,A,University of Leicester
2730,2014,10.1093/nar/gkt954,MBDC0015,GXD: mouse Gene Expression Database,yes,1999,7,295,2016,3,yes,2018,USA,single,US National Institutes of Health; European Commission,P,Jackson Laboratory
688,2002,10.1093/nar/30.1.341,MBDC0167,HDB: Histone Database,yes,1996,6,139,NA,3,yes,unknown,USA,not_reported,not_reported,G,US National Institutes of Health
651,2001,10.1093/nar/29.1.148,MBDC0200,Hits,yes,2001,1,27,2017,3,yes,2017,CHE,single,Swiss National Science Foundation,G,Swiss Institute of Bioinformatics
890,2003,10.1093/nar/gkg100,MBDC0365,HIVdb: HIV Drug Resistance Database,yes,1999,4,655,2016,2,yes,2017,USA,not_reported,not_reported,A,Stanford University
866,2003,10.1093/nar/gkg118,MBDC0170,Homeodomain Resource,yes,1999,4,58,2016,4,yes,2016,USA,not_reported,not_reported,G,US National Institutes of Health
749,2002,10.1093/nar/30.1.351,MBDC0293,HOX Pro DB,yes,2000,2,34,NA,4,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
967,2004,10.1093/nar/gkh035,MBDC0171,HUGE,yes,1999,4,162,2008,3,yes,2008,JPN,single,Kazusa DNA Research Institute Foundation,P,Kazusa DNA Research Institute
299,1998,10.1093/nar/26.1.253,MBDC0137,Human Collagen Mutation Database,yes,1997,2,326,2016,1,yes,2017,GBR,not_reported,not_reported,A,University of Leicester
1264,2006,10.1093/nar/gkj101,MBDC0294,IGC: Imprinted Gene Catalogue,yes,2001,2,218,NA,2,yes,unknown,NZL,multi,Child Cancer Foundation; Health Research Council of New Zealand; National Centre for Research on Growth and Development,A,University of Otago
2917,2015,10.1093/nar/gku1056,MBDC0172,IMGT: ImMunoGeneTics database,yes,1997,9,1370,2016,1,yes,2018,FRA,multi,European Commission; Centre National de la Recherche Scientifique; Ministere de l Enseignement Superieur et de la Recherche; Universite de Montpellier; Agence Nationale de la Recherche; BioCampus Montpellier; Grand Plateau Technique pour la Recherche,A,Universite de Montpellier
2782,2015,10.1093/nar/gku950,MBDC0075,JGI GOLD: Genomes OnLine Database,yes,2001,6,1297,2017,1,yes,2018,USA,single,US Department of Energy,G,DOE Joint Genome Institute
2970,2016,10.1093/nar/gkv1070,MBDC0112,KEGG: Kyoto Encyclopedia of Genes and Genomes,yes,1999,11,16832,2017,1,yes,2018,JPN,single,Japan Science and Technology Agency,A,Kyoto University
559,2001,10.1093/nar/29.1.327,NAR9152,KMDB: Keio Mutation Database,yes,1999,3,23,NA,4,yes,unknown,JPN,multi,Ministry of Education Culture Sports Science and Technology of Japan,A,Keio University
1288,2006,10.1093/nar/gkj104,MBDC0176,LGICdb: Ligand Gated Ion Channel database ,yes,1999,3,142,NA,3,false_positive,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
731,2002,10.1093/nar/30.1.402,NAR9156,LIGAND,yes,1999,3,275,2016,3,yes,2017,JPN,multi,Kyoto University; Ministry of Education Culture Sports Science and Technology of Japan; Meijo University,A,Kyoto University
3071,2016,10.1093/nar/gkv1356,NAR9161,MBDC: Molecular Biology Database Collection,yes,1999,17,917,2017,2,yes,2018,GBR,multi,US National Institutes of Health; Oxford University Press,A,Oxford University Press
3034,2016,10.1093/nar/gkv1118,MBDC0177,MEROPS,yes,1999,10,2774,2017,1,yes,2017,GBR,single,Wellcome Trust,G,European Molecular Biology Laboratory
823,2003,10.1093/nar/gkg093,MBDC0019,MethDB: Methylation DataBase ,yes,2001,2,78,2009,3,yes,2009,FRA,multi,Genopole Languedoc Roussillon; Klaus Tschira Foundation,A,Centre National de la Recherche Scientifique Universite de Perpignan
3051,2016,10.1093/nar/gkv1211,MBDC0087,MGD: Mouse Genome Database,yes,1997,20,1878,2016,2,yes,2018,USA,single,US National Institutes of Health,P,Jackson Laboratory
1438,2007,10.1093/nar/gkl927,MBDC0084,MITOMAP,yes,1996,5,814,NA,1,yes,2018,USA,multi,US National Institutes of Health; Ellison Foundation; US National Science Foundation; University of California Irving; Spanish Ministry of Economy Industry and Competitiveness; Diputacion General de Aragon; Ciber Enfermedades Raras,A,University of California Irving
2716,2014,10.1093/nar/gkt1144,MBDC0331,MODBASE,yes,2000,7,802,2013,2,yes,2013,USA,multi,US National Institutes of Health; Sandler Family Supporting Foundation; US Department of Energy; European Commission,A,University of California San Francisco
2856,2015,10.1093/nar/gku987,MBDC0152,MTB: Mouse Tumor Biology Database,yes,1999,5,67,2016,4,yes,2017,USA,single,US National Institutes of Health,P,Jackson Laboratory
2808,2015,10.1093/nar/gku1223,MBDC0007,NCBI COG: Clusters of Orthologous Groups,yes,2000,3,2514,2014,1,yes,2014,USA,single,US National Institutes of Health,G,US National Institutes of Health
655,2001,10.1093/nar/29.1.308,NAR9192,NCBI dbSNP: database of single nucleotide polymorphisms,yes,2000,2,2456,NA,1,yes,2017,USA,multi,US National Institutes of Health; US Department of Energy,G,US National Institutes of Health
3042,2016,10.1093/nar/gkv1276,MBDC0003,NCBI Genbank,yes,1991,24,7582,2017,1,yes,2018,USA,single,US National Institutes of Health,G,US National Institutes of Health
2761,2014,10.1093/nar/gkt1208,MBDC0270,NCBI MMDB: Molecular Modeling DataBase,yes,1999,7,407,2016,2,yes,2018,USA,single,US National Institutes of Health,G,US National Institutes of Health
1475,2007,10.1093/nar/gkl994,MBDC0381,ncRNAdb: Noncoding RNAs database,yes,1999,5,285,NA,2,yes,unknown,POL,multi,Polish Ministry of Science and Higher Education; Fonds der Chemischen Industrie eV; National Foundation for Cancer Research,S,Institute of Bioorganic Chemistry Polish Academy of Sciences
441,1999,10.1093/nar/27.1.370,MBDC0209,O-GLYCBASE,yes,1996,4,255,NA,2,yes,2002,DNK,single,Danish National Research Foundation,A,Technical University of Denmark
2882,2015,10.1093/nar/gku1205,MBDC0143,OMIM: Online Mendelian Inheritance in Man,yes,1994,5,1766,2017,1,yes,2018,USA,multi,US National Institutes of Health; Johns Hopkins University,A,Johns Hopkins University
493,2000,10.1093/nar/28.1.308,MBDC0185,ooTFD: Object Oriented Transcription Factors Database,yes,1998,3,90,NA,3,yes,unknown,USA,multi,Procter and Gamble; University of California San Diego; Boston University,I,Institute for Transcriptional Informatics
592,2001,10.1093/nar/29.1.300,NAR9207,OrCGDB: Oral Cancer Gene Database,yes,2001,1,12,NA,4,yes,unknown,USA,not_reported,not_reported,I,Biomedical Computing Inc
669,2002,10.1093/nar/30.1.354,MBDC0184,ORDB: Olfactory Receptor Database,yes,1999,3,84,2015,3,yes,2015,USA,single,US National Institutes of Health,A,Yale University
686,2002,10.1093/nar/30.1.218,MBDC0154,PEDB: Prostate Expression Database,yes,1999,3,88,2017,3,yes,unknown,USA,multi,CaPCURE Foundation; US National Institutes of Health; US Army Medical Research and Materiel Command,P,Fred Hutchinson Cancer Research Center
3085,2016,10.1093/nar/gkv1344,MBDC0210,Pfam,yes,1998,11,14408,2016,1,yes,2017,GBR,multi,UK Biotechnology and Biological Sciences Research Council; Wellcome Trust; European Molecular Biology Laboratory; Howard Hughes Medical Institute,G,European Molecular Biology Laboratory
353,1999,10.1093/nar/27.1.237,NAR9223,PhosphoBase,yes,1998,2,274,NA,2,yes,2010,GBR,multi,Danish National Research Foundation; Estonian Science Foundation,G,European Molecular Biology Laboratory
838,2003,10.1093/nar/gkg044,MBDC0208,PIR IProClass,yes,1999,4,85,2016,4,yes,2018,USA,multi,US National Institutes of Health; US National Science Foundation,A,University of Delaware; Georgetown University Medical Center
817,2003,10.1093/nar/gkg040,MBDC0194,PIR: Protein Identification Resouce,yes,1991,12,975,NA,2,yes,2018,USA,single,US National Institutes of Health,A,University of Delaware; Georgetown University Medical Center
876,2003,10.1093/nar/gkg025,MBDC0371,PlantsP,yes,2001,2,70,2011,3,yes,2011,USA,multi,US National Science Foundation; University of California San Diego,A,Purdue University
1861,2009,10.1093/nar/gkn814,MBDC0091,PlasmoDB,yes,2001,4,714,2017,2,yes,2018,USA,single,US National Institutes of Health,C,EuPathDB Consortium
836,2003,10.1093/nar/gkg030,MBDC0212,PRINTS,yes,1994,8,837,2009,2,yes,2012,GBR,multi,University of Manchester; Royal Society; UK Medical Research Council; UK Biotechnology and Biological Sciences Research Council; Engineering and Physical Sciences Research Council; European Commission; BioFocus,A,University of Manchester
2531,2013,10.1093/nar/gks1067,MBDC0215,PROSITE,yes,1991,13,5812,2017,1,yes,2018,CHE,multi,Swiss Federal Office of Education and Science; Swiss National Science Foundation,G,Swiss Institute of Bioinformatics
2779,2015,10.1093/nar/gku1214,MBDC0276,RCSB PDB: Protein Data Bank,yes,2000,9,17915,2017,1,yes,2018,USA,multi,US National Institutes of Health; US National Science Foundation; US Department of Energy,A,Rutgers University; The State University of New Jersey; University of California San Diego
2756,2014,10.1093/nar/gkt1244,MBDC0243,RDP: Ribosomal Database Project,yes,1991,14,10183,2016,1,yes,2018,USA,multi,US Department of Energy; US National Science Foundation; US Department of Agriculture; US National Institutes of Health,A,Michigan State University
2806,2015,10.1093/nar/gku1046,MBDC0224,REBASE: Restriction Enzymes and methylases dataBASE,yes,1991,15,1202,2017,2,yes,2018,USA,single,New England Biolabs,I,New England Biolabs
1991,2010,10.1093/nar/gkp788,MBDC0021,RECODE,yes,2001,3,116,NA,3,yes,unknown,IRL,multi,Science Foundation Ireland; US National Institutes of Health,A,University College Cork
3083,2016,10.1093/nar/gkv1156,MBDC0116,RegulonDB,yes,1998,10,1445,2016,2,yes,2017,MEX,multi,Universidad Nacional Autonoma de Mexico; US National Institutes of Health,A,National Autonomous University of Mexico
340,1999,10.1093/nar/27.1.314,MBDC0195,Ribonuclease P Database,yes,1994,5,360,2005,3,yes,2005,USA,multi,US National Institutes of Health; Isis Pharmaceuticals,A,North Carolina State University
284,1998,10.1093/nar/26.1.280,MBDC0229,RNA Mutations (Triman Database),yes,1994,5,46,NA,4,yes,unknown,USA,single,US National Science Foundation,A,University of Texas at Austin
2885,2015,10.1093/nar/gku1201,MBDC0043,rrnDB,yes,2001,3,852,2016,1,yes,2017,USA,multi,US National Institutes of Health; US National Science Foundation; US Department of Energy,A,University of Michigan
887,2003,10.1093/nar/gkg112,MBDC0045,rSNP Guide,yes,2001,2,45,NA,4,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
1050,2005,10.1093/nar/gki112,MBDC0217,SBASE,yes,1993,10,170,2006,4,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
2599,2014,10.1093/nar/gkt1242,MBDC0282,SCOP: Structural Classification of Proteins,yes,1997,7,2578,2013,1,yes,2014,GBR,multi,UK Medical Research Council; UK Biotechnology and Biological Sciences Research Council ,G,MRC Laboratory of Molecular Biology
660,2002,10.1093/nar/30.1.195,MBDC0246,SELEX-DB,yes,2000,2,30,NA,4,yes,2015,RUS,multi,Russian Foundation for Basic Research; Howard Hughes Medical Institute; INTAS; Ludwig Cancer Research Institute ,G,Institute of Cytology and Genetics
3033,2016,10.1093/nar/gkv1250,MBDC0357,SGD: Saccharomyces Genome Database,yes,1998,14,2094,2017,2,yes,2018,USA,single,US National Institutes of Health,A,Stanford University
2809,2015,10.1093/nar/gku949,MBDC0218,SMART: Simple Modular Architecture Research Tool,yes,1999,8,4606,NA,1,yes,unknown,DEU,single,European Molecular Biology Laboratory,G,European Molecular Biology Laboratory
586,2001,10.1093/nar/29.1.255,MBDC0046,SpliceDB,yes,2001,1,137,NA,2,yes,unknown,USA,not_reported,not_reported,I,Softberry Inc
1305,2006,10.1093/nar/gkj142,MBDC0248,SRPDB: Signal Recognition Particle Database,yes,1992,11,296,NA,3,yes,unknown,DNK,multi,Aarhus University; SWEGENE Consortium; Danish Ministry of Higher Education and Science; Danish Ministry of Higher Education and Science; US National Institutes of Health,C,Center for NonCoding RNA in Technology and Health
564,2001,10.1093/nar/29.1.320,MBDC0047,STRBase: Short Tandem Repeat DNA Internet Database ,yes,2001,1,142,2017,1,yes,2018,USA,not_reported,not_reported,G,US National Institute of Standards and Technology
489,2000,10.1093/nar/28.1.286,MBDC0225,SWISS-2DPAGE,yes,1994,5,151,2011,3,yes,2011,CHE,not_reported,not_reported,G,Swiss Institute of Bioinformatics
837,2003,10.1093/nar/gkg095,NAR9288,SWISS-PROT,yes,1991,10,5258,2017,1,yes,2018,GBR,not_reported,not_reported,G,European Molecular Biology Laboratory
2336,2012,10.1093/nar/gkr1090,MBDC0097,TAIR: The Arabidopsis Information Resource,yes,2001,4,1786,2017,1,yes,2018,USA,multi,US National Institutes of Health; US National Science Foundation; Cornell University; Microsoft,P,Phoenix Bioinformatics Corporation
1108,2005,10.1093/nar/gki064,MBDC0005,TGI: Gene Indices,yes,2000,3,775,2016,1,file_archive,2017,USA,multi,US Department of Energy; US National Science Foundation; J Craig Venter Institute,P,J Craig Venter Institute
2534,2013,10.1093/nar/gks1234,MBDC0199,TIGRFAMs,yes,2001,4,617,2014,1,yes,2014,USA,multi,US National Institutes of Health,P,J Craig Venter Institute
1305,2006,10.1093/nar/gkj142,MBDC0250,tmRDB: tmRNA database,yes,1998,6,147,NA,3,yes,unknown,DNK,multi,Aarhus University; SWEGENE Consortium; Danish Ministry of Higher Education and Science; Danish Ministry of Higher Education and Science; US National Institutes of Health,C,Center for NonCoding RNA in Technology and Health
2865,2015,10.1093/nar/gku1109,NAR9294,tmRNA Website,yes,1998,6,221,2013,3,yes,2013,USA,single,US Department of Energy,G,Sandia National Laboratories
1236,2006,10.1093/nar/gkj143,MBDC0340,TRANSFAC,yes,1996,8,6114,NA,1,yes,2005,DEU,multi,German Federal Ministry of Education and Research; BioRegioN GmbH; European Commission; BIOBASE GmbH,I,GeneXplain
270,1998,10.1093/nar/26.1.198,NAR9299,Transgenic Rodent Mutations Database,yes,1996,3,80,NA,3,false_positive,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
1726,2009,10.1093/nar/gkn763,MBDC0048,TransTerm,yes,1993,10,250,NA,3,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
769,2002,10.1093/nar/30.1.312,MBDC0049,TRRD: Transcription Regulatory Regions Database,yes,1999,3,141,NA,3,yes,2005,RUS,multi,National Human Genome Program; State Committee on Science and Technology of the Russian Federation; Siberian Branch of the Russian Academy of Sciences; Russian Foundation for Basic Research,G,Institute of Cytology and Genetics
2001,2010,10.1093/nar/gkp902,MBDC0252,UTRdb: UnTranslated Regions of eukaryotic mRNAs database,yes,1998,6,539,2010,2,yes,2015,ITA,multi,Italian Ministry of Education Universities and Research; Italian National Research Council,A,University of Bari
3010,2016,10.1093/nar/gkv1217,MBDC0051,WormBase,yes,2001,11,1142,2017,2,yes,2018,INT,multi,US National Institutes of Health; UK Medical Research Council; UK Biotechnology and Biological Sciences Research Council; Howard Hughes Medical Institute,C,Wormbase Consortium
2498,2013,10.1093/nar/gks938,MBDC0101,ZFIN: Zebrafish Information Network,yes,2001,6,616,NA,2,yes,2018,USA,single,US National Institutes of Health,A,University of Oregon
